City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Kapaa,US,22.0752,-159.319,86.32,66,1,4.0,clear sky,0.0,0
1,Hede,CN,33.7681,120.2517,77.95,87,67,6.08,broken clouds,0.0,0
2,Bengkulu,ID,-3.8004,102.2655,74.8,87,69,4.27,broken clouds,0.0,0
3,Sola,VU,-13.8833,167.55,75.87,88,90,9.22,overcast clouds,0.0,0
4,Muskegon,US,43.3,-86.1334,75.22,61,20,5.75,few clouds,0.0,0
5,Atuona,PF,-9.8,-139.0333,78.24,64,21,14.32,few clouds,0.0,0
6,Punta Arenas,CL,-53.15,-70.9167,41.11,93,90,4.61,overcast clouds,0.0,0
7,Grindavik,IS,63.8424,-22.4338,51.75,100,90,10.36,light intensity drizzle,0.0,0
8,Toamasina,MG,-18.1667,49.3833,62.6,94,75,5.75,light rain,0.32,0
9,Mataura,NZ,-46.1927,168.8643,57.47,61,100,5.55,overcast clouds,0.0,0
10,Mahebourg,MU,-20.4081,57.7,68.29,83,40,10.36,light rain,0.36,0
11,Nome,US,64.5011,-165.4064,50.07,82,90,8.05,light rain,0.68,0
12,Chokurdakh,RU,70.6333,147.9167,46.63,54,59,7.7,broken clouds,0.0,0
13,Hobart,AU,-42.8794,147.3294,42.66,87,75,3.0,broken clouds,0.0,0
14,Vaini,TO,-21.2,-175.2,73.56,73,40,13.8,scattered clouds,0.0,0
15,Cape Town,ZA,-33.9258,18.4232,57.11,87,0,3.44,clear sky,0.0,0
16,Kodiak,US,57.79,-152.4072,56.91,62,6,0.72,clear sky,0.0,0
17,Lebu,CL,-37.6167,-73.65,50.81,92,100,27.76,overcast clouds,0.0,0
18,Leningradskiy,RU,69.3833,178.4167,34.14,85,97,13.56,overcast clouds,0.0,0
19,Kavieng,PG,-2.5744,150.7967,83.64,74,83,8.88,light rain,0.96,0
20,Ostrovnoy,RU,68.0531,39.5131,51.35,98,100,11.18,overcast clouds,0.0,0
21,Jamestown,US,42.097,-79.2353,70.92,64,1,5.75,clear sky,0.0,0
22,Parabel,RU,58.6978,81.4825,58.41,91,74,6.82,broken clouds,0.0,0
23,Khani,GE,41.9563,42.9566,60.37,98,99,1.23,moderate rain,2.37,0
24,Lincoln,US,40.8,-96.667,84.58,52,1,1.99,clear sky,0.0,0
25,Butaritari,KI,3.0707,172.7902,83.39,72,24,10.25,few clouds,0.0,0
26,Mulege,MX,26.8833,-111.9833,91.29,53,30,7.76,scattered clouds,0.0,0
27,Dikson,RU,73.5069,80.5464,44.38,100,100,10.33,overcast clouds,0.0,0
28,Karibib,NA,-21.9333,15.8333,58.59,35,0,0.78,clear sky,0.0,0
29,Shangzhi,CN,45.2167,127.9667,68.27,80,9,2.75,clear sky,0.0,0
30,Hakui,JP,36.8833,136.7833,81.23,78,100,3.33,overcast clouds,0.0,0
31,Basco,PH,20.4487,121.9702,84.15,78,77,12.33,light rain,0.87,0
32,Pathalgaon,IN,22.5667,83.4667,74.82,91,100,1.88,overcast clouds,0.0,0
33,Vila Velha,BR,-20.3297,-40.2925,71.55,83,75,4.61,broken clouds,0.0,0
34,Fort Saint James,CA,54.4333,-124.25,74.32,28,65,14.7,broken clouds,0.0,0
35,Hilo,US,19.7297,-155.09,82.13,78,75,10.36,broken clouds,0.0,0
36,Palaikastron,GR,35.2,26.25,74.97,69,0,15.84,clear sky,0.0,0
37,Bredasdorp,ZA,-34.5322,20.0403,53.28,93,43,1.14,scattered clouds,0.0,0
38,Aklavik,CA,68.2191,-135.0107,59.72,57,100,6.93,overcast clouds,0.0,0
39,Ribeira Grande,PT,38.5167,-28.7,72.52,85,84,4.68,broken clouds,0.0,0
40,Port Alfred,ZA,-33.5906,26.891,58.98,76,0,13.53,clear sky,0.0,0
41,Bethel,US,41.3712,-73.414,74.64,73,1,4.61,clear sky,0.0,0
42,Haradok,BY,55.4624,29.9816,55.58,95,24,4.92,few clouds,0.0,0
43,Lompoc,US,34.6391,-120.4579,74.88,78,1,7.0,mist,0.0,0
44,Souillac,MU,-20.5167,57.5167,68.38,83,40,10.36,scattered clouds,0.0,0
45,Bonavista,CA,48.6499,-53.1147,73.4,95,51,12.97,broken clouds,0.0,0
46,Buncrana,IE,55.1333,-7.45,54.0,90,88,14.97,overcast clouds,0.0,0
47,Puerto Ayora,EC,-0.7393,-90.3518,69.55,93,88,8.01,overcast clouds,0.0,0
48,San Patricio,US,28.017,-97.5169,90.01,55,65,14.7,broken clouds,0.0,0
49,Mar Del Plata,AR,-38.0023,-57.5575,46.42,100,90,6.91,fog,0.0,0
50,Tiksi,RU,71.6872,128.8694,43.12,82,20,7.31,few clouds,0.0,0
51,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,62,40,13.8,scattered clouds,0.0,0
52,Achutupo,PA,9.2,-77.9833,80.15,82,92,1.61,overcast clouds,0.0,0
53,Srednekolymsk,RU,67.45,153.6833,51.6,52,100,9.26,overcast clouds,0.0,0
54,Albany,US,42.6001,-73.9662,68.63,74,100,2.46,overcast clouds,0.0,0
55,Rikitea,PF,-23.1203,-134.9692,74.79,75,0,11.45,clear sky,0.0,0
